New York-Northern New Jersey-Long Island, NY-NJ-PA	New York, NY
Los Angeles-Long Beach-Santa Ana, CA	Los Angeles, CA
Chicago-Naperville-Joliet, IL-IN-WI	Chicago, IL
Chicago-Joliet-Naperville, IL-IN-WI	Chicago, IL
Dallas-Fort Worth-Arlington, TX	Dallas, TX
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD	Philadelphia, PA
Houston-Sugar Land-Baytown, TX	Houston, TX
Miami-Fort Lauderdale-Pompano Beach, FL	Miami, FL
Washington-Arlington-Alexandria, DC-VA-MD-WV	Washington, DC
Atlanta-Sandy Springs-Marietta, GA	Atlanta, GA
Boston-Cambridge-Quincy, MA-NH	Boston, MA-NH
Detroit-Warren-Livonia, MI	Detroit, MI
Phoenix-Mesa-Scottsdale, AZ	Phoenix, AZ
Phoenix-Mesa-Glendale, AZ	Phoenix, AZ
San Francisco-Oakland-Fremont, CA	San Francisco, CA
Riverside-San Bernardino-Ontario, CA	Riverside, CA
Seattle-Tacoma-Bellevue, WA	Seattle, WA
Minneapolis-St. Paul-Bloomington, MN-WI	Minneapolis, MN
San Diego-Carlsbad-San Marcos, CA	San Diego, CA
St. Louis, MO-IL	St. Louis, MO
Tampa-St. Petersburg-Clearwater, FL	Tampa, FL
Baltimore-Towson, MD	Baltimore, MD
Denver-Aurora-Broomfield, CO /1	Denver, CO
Denver-Aurora-Broomfield, CO	Denver, CO
Pittsburgh, PA	Pittsburgh, PA
Portland-Vancouver-Beaverton, OR-WA	Portland, OR
Portland-Vancouver-Hillsboro, OR-WA	Portland, OR
Cincinnati-Middletown, OH-KY-IN	Cincinnati, OH
Sacramento--Arden-Arcade--Roseville, CA	Sacramento, CA
Cleveland-Elyria-Mentor, OH	Cleveland, OH
Orlando-Kissimmee, FL	Orlando, FL
Orlando-Kissimmee-Sanford, FL	Orlando, FL
San Antonio, TX	San Antonio, TX
San Antonio-New Braunfels, TX	San Antonio, TX
Kansas City, MO-KS	Kansas City, MO
Las Vegas-Paradise, NV	Las Vegas, NV
San Jose-Sunnyvale-Santa Clara, CA	San Jose, CA
Columbus, OH	Columbus, OH
Charlotte-Gastonia-Concord, NC-SC	Charlotte, NC
Charlotte-Gastonia-Rock Hill, NC-SC	Charlotte, NC
Indianapolis-Carmel, IN	Indianapolis, IN
Austin-Round Rock, TX	Austin, TX
Austin-Round Rock-San Marcos, TX	Austin, TX
Virginia Beach-Norfolk-Newport News, VA-NC	Virginia Beach, VA
Providence-New Bedford-Fall River, RI-MA	Providence, RI
Nashville-Davidson--Murfreesboro--Franklin, TN	Nashville, TN
Milwaukee-Waukesha-West Allis, WI	Milwaukee, WI
Jacksonville, FL	Jacksonville, FL
Memphis, TN-MS-AR	Memphis, TN
Louisville/Jefferson County, KY-IN	Louisville, KY
Richmond, VA	Richmond, VA
Oklahoma City, OK	Oklahoma City, OK
Hartford-West Hartford-East Hartford, CT	Hartford, CT
New Orleans-Metairie-Kenner, LA	New Orleans, LA
Birmingham-Hoover, AL	Birmingham, AL
Salt Lake City, UT	Salt Lake City, UT
Raleigh-Cary, NC	Raleigh, NC
Buffalo-Niagara Falls, NY	Buffalo, NY
Rochester, NY	Rochester, NY
Tucson, AZ	Tucson, AZ
Tulsa, OK	Tulsa, OK
Fresno, CA	Fresno, CA
Honolulu, HI	Honolulu, HI
Bridgeport-Stamford-Norwalk, CT	Bridgeport-Stamford-Norwalk, CT
Albuquerque, NM	Albuquerque, NM
Albany-Schenectady-Troy, NY	Albany-Schenectady-Troy, NY
Omaha-Council Bluffs, NE-IA	Omaha-Council Bluffs, NE-IA
New Haven-Milford, CT	New Haven-Milford, CT
Dayton, OH	Dayton, OH
Allentown-Bethlehem-Easton, PA-NJ	Allentown-Bethlehem-Easton, PA-NJ
Bakersfield, CA	Bakersfield, CA
Worcester, MA	Worcester, MA
Oxnard-Thousand Oaks-Ventura, CA	Oxnard-Thousand Oaks-Ventura, CA
Baton Rouge, LA	Baton Rouge, LA
Grand Rapids-Wyoming, MI	Grand Rapids-Wyoming, MI
El Paso, TX	El Paso, TX
Columbia, SC	Columbia, SC
McAllen-Edinburg-Mission, TX	McAllen-Edinburg-Mission, TX
Greensboro-High Point, NC	Greensboro-High Point, NC
Akron, OH	Akron, OH
Knoxville, TN	Knoxville, TN
Springfield, MA	Springfield, MA
Bradenton-Sarasota-Venice, FL	Bradenton-Sarasota-Venice, FL
Little Rock-North Little Rock-Conway, AR	Little Rock-North Little Rock-Conway, AR
Poughkeepsie-Newburgh-Middletown, NY	Poughkeepsie-Newburgh-Middletown, NY
Stockton, CA	Stockton, CA
Toledo, OH	Toledo, OH
Charleston-North Charleston-Summerville, SC	Charleston-North Charleston-Summerville, SC
Syracuse, NY	Syracuse, NY
Greenville-Mauldin-Easley, SC	Greenville-Mauldin-Easley, SC
Colorado Springs, CO	Colorado Springs, CO
Wichita, KS	Wichita, KS
Boise City-Nampa, ID	Boise City-Nampa, ID
Cape Coral-Fort Myers, FL	Cape Coral-Fort Myers, FL
Lakeland-Winter Haven, FL	Lakeland-Winter Haven, FL
Madison, WI	Madison, WI
Youngstown-Warren-Boardman, OH-PA	Youngstown-Warren-Boardman, OH-PA
Des Moines-West Des Moines, IA	Des Moines-West Des Moines, IA
Provo-Orem, UT	Provo-Orem, UT
Scranton--Wilkes-Barre, PA	Scranton--Wilkes-Barre, PA
Ogden-Clearfield, UT	Ogden-Clearfield, UT
Jackson, MS	Jackson, MS
Augusta-Richmond County, GA-SC	Augusta-Richmond County, GA-SC
Harrisburg-Carlisle, PA	Harrisburg-Carlisle, PA
Palm Bay-Melbourne-Titusville, FL	Palm Bay-Melbourne-Titusville, FL
Chattanooga, TN-GA	Chattanooga, TN-GA
Portland-South Portland-Biddeford, ME	Portland-South Portland-Biddeford, ME
Modesto, CA	Modesto, CA
Lancaster, PA	Lancaster, PA
Durham-Chapel Hill, NC	Durham-Chapel Hill, NC
Deltona-Daytona Beach-Ormond Beach, FL	Deltona-Daytona Beach-Ormond Beach, FL
Winston-Salem, NC	Winston-Salem, NC
Santa Rosa-Petaluma, CA	Santa Rosa-Petaluma, CA
Lexington-Fayette, KY	Lexington-Fayette, KY
Spokane, WA	Spokane, WA
Fayetteville-Springdale-Rogers, AR-MO	Fayetteville-Springdale-Rogers, AR-MO
Pensacola-Ferry Pass-Brent, FL	Pensacola-Ferry Pass-Brent, FL
Lansing-East Lansing, MI	Lansing-East Lansing, MI
Springfield, MO	Springfield, MO
Visalia-Porterville, CA	Visalia-Porterville, CA
York-Hanover, PA	York-Hanover, PA
Flint, MI	Flint, MI
Reno-Sparks, NV	Reno-Sparks, NV
Corpus Christi, TX	Corpus Christi, TX
Fort Wayne, IN	Fort Wayne, IN
Asheville, NC	Asheville, NC
Mobile, AL	Mobile, AL
Salinas, CA	Salinas, CA
Canton-Massillon, OH	Canton-Massillon, OH
Vallejo-Fairfield, CA	Vallejo-Fairfield, CA
Reading, PA	Reading, PA
Santa Barbara-Santa Maria-Goleta, CA	Santa Barbara-Santa Maria-Goleta, CA
Huntsville, AL	Huntsville, AL
Port St. Lucie, FL	Port St. Lucie, FL
Manchester-Nashua, NH	Manchester-Nashua, NH
Brownsville-Harlingen, TX	Brownsville-Harlingen, TX
Salem, OR	Salem, OR
Shreveport-Bossier City, LA	Shreveport-Bossier City, LA
Killeen-Temple-Fort Hood, TX	Killeen-Temple-Fort Hood, TX
Davenport-Moline-Rock Island, IA-IL	Davenport-Moline-Rock Island, IA-IL
Beaumont-Port Arthur, TX	Beaumont-Port Arthur, TX
Peoria, IL	Peoria, IL
Anchorage, AK	Anchorage, AK
Montgomery, AL	Montgomery, AL
Trenton-Ewing, NJ	Trenton-Ewing, NJ
Hickory-Lenoir-Morganton, NC	Hickory-Lenoir-Morganton, NC
Fayetteville, NC	Fayetteville, NC
Tallahassee, FL	Tallahassee, FL
Wilmington, NC	Wilmington, NC
Rockford, IL	Rockford, IL
Evansville, IN-KY	Evansville, IN-KY
Eugene-Springfield, OR	Eugene-Springfield, OR
Ann Arbor, MI	Ann Arbor, MI
Savannah, GA	Savannah, GA
Ocala, FL	Ocala, FL
Kalamazoo-Portage, MI	Kalamazoo-Portage, MI
Naples-Marco Island, FL	Naples-Marco Island, FL
South Bend-Mishawaka, IN-MI	South Bend-Mishawaka, IN-MI
Kingsport-Bristol-Bristol, TN-VA	Kingsport-Bristol-Bristol, TN-VA
Green Bay, WI	Green Bay, WI
Charleston, WV	Charleston, WV
Boulder, CO /1	Boulder, CO /1
Roanoke, VA	Roanoke, VA
Fort Collins-Loveland, CO	Fort Collins-Loveland, CO
Lincoln, NE	Lincoln, NE
Utica-Rome, NY	Utica-Rome, NY
Fort Smith, AR-OK	Fort Smith, AR-OK
Columbus, GA-AL	Columbus, GA-AL
Spartanburg, SC	Spartanburg, SC
Huntington-Ashland, WV-KY-OH	Huntington-Ashland, WV-KY-OH
Erie, PA	Erie, PA
Lubbock, TX	Lubbock, TX
Duluth, MN-WI	Duluth, MN-WI
Atlantic City-Hammonton, NJ	Atlantic City-Hammonton, NJ
Clarksville, TN-KY	Clarksville, TN-KY
San Luis Obispo-Paso Robles, CA	San Luis Obispo-Paso Robles, CA
Norwich-New London, CT	Norwich-New London, CT
Hagerstown-Martinsburg, MD-WV	Hagerstown-Martinsburg, MD-WV
Myrtle Beach-North Myrtle Beach-Conway, SC	Myrtle Beach-North Myrtle Beach-Conway, SC
Lafayette, LA	Lafayette, LA
Holland-Grand Haven, MI	Holland-Grand Haven, MI
Gainesville, FL	Gainesville, FL
Cedar Rapids, IA	Cedar Rapids, IA
Santa Cruz-Watsonville, CA	Santa Cruz-Watsonville, CA
Greeley, CO /1	Greeley, CO /1
Olympia, WA	Olympia, WA
Lynchburg, VA	Lynchburg, VA
Amarillo, TX	Amarillo, TX
Kennewick-Pasco-Richland, WA	Kennewick-Pasco-Richland, WA
Merced, CA	Merced, CA
Binghamton, NY	Binghamton, NY
Laredo, TX	Laredo, TX
Bremerton-Silverdale, WA	Bremerton-Silverdale, WA
Yakima, WA	Yakima, WA
Gulfport-Biloxi, MS	Gulfport-Biloxi, MS
Sioux Falls, SD	Sioux Falls, SD
Waco, TX	Waco, TX
Macon, GA	Macon, GA
Topeka, KS	Topeka, KS
Champaign-Urbana, IL	Champaign-Urbana, IL
Appleton, WI	Appleton, WI
Barnstable Town, MA	Barnstable Town, MA
Chico, CA	Chico, CA
Prescott, AZ	Prescott, AZ
College Station-Bryan, TX	College Station-Bryan, TX
Tuscaloosa, AL	Tuscaloosa, AL
Springfield, IL	Springfield, IL
Burlington-South Burlington, VT	Burlington-South Burlington, VT
Longview, TX	Longview, TX
Las Cruces, NM	Las Cruces, NM
Tyler, TX	Tyler, TX
Houma-Bayou Cane-Thibodaux, LA	Houma-Bayou Cane-Thibodaux, LA
Medford, OR	Medford, OR
Florence, SC	Florence, SC
Racine, WI	Racine, WI
Elkhart-Goshen, IN	Elkhart-Goshen, IN
Bellingham, WA	Bellingham, WA
Fargo, ND-MN	Fargo, ND-MN
Saginaw-Saginaw Township North, MI	Saginaw-Saginaw Township North, MI
Johnson City, TN	Johnson City, TN
Yuma, AZ	Yuma, AZ
Charlottesville, VA	Charlottesville, VA
Lafayette, IN	Lafayette, IN
Lake Havasu City-Kingman, AZ	Lake Havasu City-Kingman, AZ
Lake Charles, LA	Lake Charles, LA
Athens-Clarke County, GA	Athens-Clarke County, GA
St. Cloud, MN	St. Cloud, MN
Gainesville, GA	Gainesville, GA
Rochester, MN	Rochester, MN
Bloomington, IN	Bloomington, IN
Anderson, SC	Anderson, SC
Kingston, NY	Kingston, NY
Redding, CA	Redding, CA
Greenville, NC	Greenville, NC
Fort Walton Beach-Crestview-Destin, FL	Fort Walton Beach-Crestview-Destin, FL
Joplin, MO	Joplin, MO
Monroe, LA	Monroe, LA
Muskegon-Norton Shores, MI	Muskegon-Norton Shores, MI
Jacksonville, NC	Jacksonville, NC
Terre Haute, IN	Terre Haute, IN
Bloomington-Normal, IL	Bloomington-Normal, IL
El Centro, CA	El Centro, CA
Columbia, MO	Columbia, MO
Yuba City, CA	Yuba City, CA
Albany, GA	Albany, GA
Waterloo-Cedar Falls, IA	Waterloo-Cedar Falls, IA
Panama City-Lynn Haven-Panama City Beach, FL	Panama City-Lynn Haven-Panama City Beach, FL
Oshkosh-Neenah, WI	Oshkosh-Neenah, WI
Parkersburg-Marietta-Vienna, WV-OH	Parkersburg-Marietta-Vienna, WV-OH
Niles-Benton Harbor, MI	Niles-Benton Harbor, MI
Janesville, WI	Janesville, WI
Abilene, TX	Abilene, TX
Eau Claire, WI	Eau Claire, WI
Jackson, MI	Jackson, MI
Blacksburg-Christiansburg-Radford, VA	Blacksburg-Christiansburg-Radford, VA
Bend, OR	Bend, OR
Vineland-Millville-Bridgeton, NJ	Vineland-Millville-Bridgeton, NJ
Dover, DE	Dover, DE
Pueblo, CO	Pueblo, CO
Punta Gorda, FL	Punta Gorda, FL
Pascagoula, MS	Pascagoula, MS
Billings, MT	Billings, MT
Alexandria, LA	Alexandria, LA
Monroe, MI	Monroe, MI
Iowa City, IA	Iowa City, IA
Decatur, AL	Decatur, AL
Burlington, NC	Burlington, NC
Bangor, ME	Bangor, ME
Hanford-Corcoran, CA	Hanford-Corcoran, CA
Madera-Chowchilla, CA	Madera-Chowchilla, CA
Santa Fe, NM	Santa Fe, NM
Jefferson City, MO	Jefferson City, MO
Wichita Falls, TX	Wichita Falls, TX
Rocky Mount, NC	Rocky Mount, NC
State College, PA	State College, PA
Grand Junction, CO	Grand Junction, CO
Wheeling, WV-OH	Wheeling, WV-OH
Sioux City, IA-NE-SD	Sioux City, IA-NE-SD
Florence-Muscle Shoals, AL	Florence-Muscle Shoals, AL
Johnstown, PA	Johnstown, PA
Hattiesburg, MS	Hattiesburg, MS
Dothan, AL	Dothan, AL
Springfield, OH	Springfield, OH
Coeur d'Alene, ID	Coeur d'Alene, ID
Morristown, TN	Morristown, TN
Texarkana, TX-Texarkana, AR	Texarkana, TX-Texarkana, AR
St. George, UT	St. George, UT
Auburn-Opelika, AL	Auburn-Opelika, AL
Valdosta, GA	Valdosta, GA
Warner Robins, GA	Warner Robins, GA
Battle Creek, MI	Battle Creek, MI
Sebastian-Vero Beach, FL	Sebastian-Vero Beach, FL
Napa, CA	Napa, CA
Odessa, TX	Odessa, TX
Dalton, GA	Dalton, GA
La Crosse, WI-MN	La Crosse, WI-MN
Midland, TX	Midland, TX
Wausau, WI	Wausau, WI
Anderson, IN	Anderson, IN
Lebanon, PA	Lebanon, PA
Flagstaff, AZ	Flagstaff, AZ
Pittsfield, MA	Pittsfield, MA
Glens Falls, NY	Glens Falls, NY
Logan, UT-ID	Logan, UT-ID
St. Joseph, MO-KS	St. Joseph, MO-KS
Idaho Falls, ID	Idaho Falls, ID
Altoona, PA	Altoona, PA
Rapid City, SD	Rapid City, SD
Mansfield, OH	Mansfield, OH
Farmington, NM	Farmington, NM
Winchester, VA-WV	Winchester, VA-WV
Manhattan, KS	Manhattan, KS
Weirton-Steubenville, WV-OH	Weirton-Steubenville, WV-OH
Bowling Green, KY	Bowling Green, KY
Morgantown, WV	Morgantown, WV
Harrisonburg, VA	Harrisonburg, VA
Salisbury, MD	Salisbury, MD
Jonesboro, AR	Jonesboro, AR
Sherman-Denison, TX	Sherman-Denison, TX
Mount Vernon-Anacortes, WA	Mount Vernon-Anacortes, WA
Williamsport, PA	Williamsport, PA
Lawrence, KS	Lawrence, KS
Victoria, TX	Victoria, TX
Muncie, IN	Muncie, IN
Sheboygan, WI	Sheboygan, WI
Anniston-Oxford, AL	Anniston-Oxford, AL
Goldsboro, NC	Goldsboro, NC
Owensboro, KY	Owensboro, KY
Jackson, TN	Jackson, TN
Elizabethtown, KY	Elizabethtown, KY
Cleveland, TN	Cleveland, TN
Lawton, OK	Lawton, OK
Kankakee-Bradley, IL	Kankakee-Bradley, IL
Michigan City-La Porte, IN	Michigan City-La Porte, IN
San Angelo, TX	San Angelo, TX
Wenatchee-East Wenatchee, WA	Wenatchee-East Wenatchee, WA
Missoula, MT	Missoula, MT
Decatur, IL	Decatur, IL
Bay City, MI	Bay City, MI
Lewiston-Auburn, ME	Lewiston-Auburn, ME
Bismarck, ND	Bismarck, ND
Danville, VA	Danville, VA
Sumter, SC	Sumter, SC
Lima, OH	Lima, OH
Brunswick, GA	Brunswick, GA
Gadsden, AL	Gadsden, AL
Longview, WA	Longview, WA
Ithaca, NY	Ithaca, NY
Pine Bluff, AR	Pine Bluff, AR
Fond du Lac, WI	Fond du Lac, WI
Cumberland, MD-WV	Cumberland, MD-WV
Kokomo, IN	Kokomo, IN
Fairbanks, AK	Fairbanks, AK
Hot Springs, AR	Hot Springs, AR
Grand Forks, ND-MN	Grand Forks, ND-MN
Rome, GA	Rome, GA
Ocean City, NJ	Ocean City, NJ
Cape Girardeau-Jackson, MO-IL	Cape Girardeau-Jackson, MO-IL
Mankato-North Mankato, MN	Mankato-North Mankato, MN
Dubuque, IA	Dubuque, IA
Palm Coast, FL	Palm Coast, FL
Pocatello, ID	Pocatello, ID
Cheyenne, WY	Cheyenne, WY
Elmira, NY	Elmira, NY
Ames, IA	Ames, IA
Corvallis, OR	Corvallis, OR
Great Falls, MT	Great Falls, MT
Danville, IL	Danville, IL
Sandusky, OH	Sandusky, OH
Columbus, IN	Columbus, IN
Casper, WY	Casper, WY
Hinesville-Fort Stewart, GA	Hinesville-Fort Stewart, GA
Lewiston, ID-WA	Lewiston, ID-WA
Carson City, NV	Carson City, NV
